,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
316,Henning Matriciani,GER,DF,Schalke 04,23,2000,25,12,"1,253",13.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.7,23,52,43,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
317,Maurides,BRA,FW,St. Pauli,29,1994,7,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,1,2,5,0.00,0.00,0.00,0.00,0.00,0.09,0.27,0.36,0.09,0.36
318,Keke Maximilian Topp,GER,FW,Schalke 04,19,2004,25,11,"1,085",12.1,5,2,7,5,0,0,4,0,2.7,2.7,1.5,4.2,22,27,81,0.41,0.17,0.58,0.41,0.58,0.23,0.12,0.35,0.23,0.35
319,Ibrahim Maza,GER,MF,Hertha BSC,17,2005,13,6,593,6.6,1,2,3,1,0,0,1,0,1.0,1.0,2.4,3.3,21,29,35,0.15,0.30,0.46,0.15,0.46,0.15,0.36,0.51,0.15,0.51
320,Jakov Medić,CRO,DF,St. Pauli,24,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
321,Joshua Mees,GER,"FW,MF",Holstein Kiel,27,1996,13,3,442,4.9,1,1,2,1,0,0,2,0,1.7,1.7,0.5,2.2,18,14,46,0.20,0.20,0.41,0.20,0.41,0.34,0.10,0.45,0.34,0.45
322,Jonas Meffert,GER,MF,Hamburger SV,28,1994,32,32,"2,816",31.3,2,2,4,2,0,0,10,0,1.3,1.3,1.9,3.2,25,178,37,0.06,0.06,0.13,0.06,0.13,0.04,0.06,0.10,0.04,0.10
323,Omar Megeed,GER,FW,Hamburger SV,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
324,Connor Metcalfe,AUS,"FW,MF",St. Pauli,23,1999,30,21,"1,848",20.5,3,5,8,3,0,0,6,0,3.3,3.3,2.7,5.9,46,94,178,0.15,0.24,0.39,0.15,0.39,0.16,0.13,0.29,0.16,0.29
325,Karol Mets,EST,DF,St. Pauli,30,1993,32,32,"2,862",31.8,0,0,0,0,0,0,1,1,0.5,0.5,1.1,1.5,24,186,6,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
326,Marco Meyerhöfer,GER,DF,Greuther Fürth,27,1995,21,11,"1,141",12.7,0,0,0,0,0,0,2,0,0.6,0.6,0.6,1.2,25,59,49,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
327,Oualid Mhamdi,MAR,DF,Greuther Fürth,20,2003,10,1,245,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,19,12,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04
328,Damian Michalski,POL,DF,Greuther Fürth,25,1998,29,22,"2,057",22.9,3,1,4,3,0,0,4,0,1.4,1.3,0.7,2.0,5,63,5,0.13,0.04,0.18,0.13,0.18,0.06,0.03,0.09,0.06,0.09
329,William Mikelbrencis,FRA,DF,Hamburger SV,19,2004,6,4,391,4.3,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,21,34,25,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16
330,Sascha Mockenhaupt,GER,DF,Wehen,31,1991,32,21,"1,928",21.4,0,0,0,0,0,0,3,0,0.4,0.4,0.9,1.2,35,80,80,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
331,Tobias Mohr,GER,"MF,DF",Schalke 04,27,1995,19,10,"1,044",11.6,1,1,2,1,0,0,2,0,1.4,1.4,1.9,3.4,24,55,56,0.09,0.09,0.17,0.09,0.17,0.12,0.17,0.29,0.12,0.29
332,Monju Momuluh,GER,DF,Hannover 96,21,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
333,Miro Muheim,SUI,DF,Hamburger SV,25,1998,28,26,"2,207",24.5,5,5,10,5,0,0,7,1,1.2,1.2,4.4,5.6,89,222,100,0.20,0.20,0.41,0.20,0.41,0.05,0.18,0.23,0.05,0.23
334,Joey Müller,GER,DF,Schalke 04,22,2000,1,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
335,Marius Müller,GER,GK,Schalke 04,30,1993,21,21,"1,844",20.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
336,Philipp Müller,GER,MF,Greuther Fürth,19,2004,6,2,191,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,11,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Tobias Müller,GER,DF,Paderborn 07,29,1994,10,7,667,7.4,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,2,10,1,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.12,0.04,0.12
339,Tobias Müller,GER,DF,Magdeburg,29,1994,15,15,"1,268",14.1,1,0,1,1,0,0,5,0,0.7,0.7,0.2,0.9,17,61,4,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06
340,Maurice Multhaup,GER,"FW,DF",Braunschweig,26,1996,8,3,320,3.6,0,1,1,0,0,0,0,0,1.0,1.0,0.6,1.6,7,4,30,0.00,0.28,0.28,0.00,0.28,0.29,0.17,0.46,0.29,0.46
341,Derry Murkin,ENG,"DF,FW",Schalke 04,24,1999,23,21,"1,838",20.4,1,6,7,1,0,0,8,1,0.5,0.5,2.8,3.3,33,83,83,0.05,0.29,0.34,0.05,0.34,0.03,0.14,0.16,0.03,0.16
342,Sei Muroya,JPN,DF,Hannover 96,29,1994,25,15,"1,529",17.0,2,3,5,2,0,0,3,0,1.5,1.5,3.5,5.0,47,69,102,0.12,0.18,0.29,0.12,0.29,0.09,0.20,0.29,0.09,0.29
343,Florent Muslija,KVX,"MF,DF",Paderborn 07,25,1998,16,15,"1,253",13.9,7,4,11,6,1,1,3,0,3.4,2.6,4.7,7.3,60,74,84,0.50,0.29,0.79,0.43,0.72,0.25,0.34,0.58,0.19,0.53
344,Visar Musliu,MKD,DF,Paderborn 07,28,1994,26,23,"1,989",22.1,3,0,3,3,0,0,3,1,2.4,2.4,0.1,2.5,8,68,0,0.14,0.00,0.14,0.14,0.14,0.11,0.01,0.12,0.11,0.12
345,Marlon Mustapha,AUT,FW,Düsseldorf,22,2001,10,2,295,3.3,2,1,3,2,0,0,1,0,2.0,2.0,0.7,2.7,4,5,21,0.61,0.31,0.92,0.61,0.92,0.62,0.21,0.83,0.62,0.83
346,Mats Møller Dæhli,NOR,MF,Nürnberg,28,1995,8,4,393,4.4,0,1,1,0,0,0,2,0,0.1,0.1,0.8,0.9,9,19,23,0.00,0.23,0.23,0.00,0.23,0.02,0.18,0.20,0.02,0.20
347,Niclas Nadj,GER,"MF,FW",Paderborn 07,22,2000,7,2,226,2.5,1,1,2,1,0,0,0,0,0.8,0.8,0.2,1.0,1,12,20,0.40,0.40,0.80,0.40,0.80,0.31,0.08,0.39,0.31,0.39
348,Montell Ndikom,GER,FW,Hannover 96,18,2005,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
349,Paul Nebel,GER,MF,Karlsruher,20,2002,33,33,"2,770",30.8,5,9,14,5,0,0,6,0,5.1,5.1,8.6,13.7,69,132,193,0.16,0.29,0.45,0.16,0.45,0.17,0.28,0.44,0.17,0.44
350,Nico Neidhart,GER,"DF,MF",Hansa Rostock,28,1994,21,20,"1,658",18.4,2,0,2,2,0,0,4,0,1.9,1.9,1.2,3.1,31,97,53,0.11,0.00,0.11,0.11,0.11,0.10,0.07,0.17,0.10,0.17
351,András Németh,HUN,"FW,MF",Hamburger SV,20,2002,28,4,566,6.3,0,0,0,0,0,0,0,0,3.7,3.7,1.0,4.7,11,13,27,0.00,0.00,0.00,0.00,0.00,0.59,0.16,0.75,0.59,0.75
352,David Nemeth,AUT,DF,St. Pauli,22,2001,7,4,427,4.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,3,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
353,Maurice Neubauer,GER,DF,Elversberg,27,1996,30,30,"2,699",30.0,3,1,4,3,0,0,4,0,0.9,0.9,2.7,3.5,78,113,102,0.10,0.03,0.13,0.10,0.13,0.03,0.09,0.12,0.03,0.12
354,Phil Neumann,GER,DF,Hannover 96,26,1997,32,32,"2,879",32.0,2,2,4,2,0,0,6,0,1.2,1.2,1.3,2.5,68,139,28,0.06,0.06,0.13,0.06,0.13,0.04,0.04,0.08,0.04,0.08
355,Florian Niederlechner,GER,"MF,FW",Hertha BSC,32,1990,26,12,"1,028",11.4,7,0,7,7,0,0,6,2,3.9,3.9,1.5,5.3,6,34,43,0.61,0.00,0.61,0.61,0.61,0.34,0.13,0.47,0.34,0.47
356,Niklas Niehoff,GER,FW,Holstein Kiel,18,2004,4,0,55,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,3,1,7,1.64,0.00,1.64,1.64,1.64,0.39,0.00,0.39,0.39,0.39
357,Julian Niehues,GER,MF,Kaiserslautern,22,2001,26,21,"1,816",20.2,1,0,1,1,0,0,6,0,1.5,1.5,1.4,2.9,13,78,41,0.05,0.00,0.05,0.05,0.05,0.07,0.07,0.14,0.07,0.14
358,Håvard Nielsen,NOR,"FW,MF",Hannover 96,30,1993,27,21,"1,887",21.0,7,3,10,7,0,0,3,1,5.8,5.8,1.8,7.7,36,58,127,0.33,0.14,0.48,0.33,0.48,0.28,0.09,0.37,0.28,0.37
359,Noel Niemann,GER,"FW,MF",Osnabrück,23,1999,29,15,"1,312",14.6,0,0,0,0,0,0,2,0,2.2,2.2,0.4,2.6,55,38,105,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18
360,Karol Niemczycki,POL,GK,Düsseldorf,24,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
361,Jona Niemiec,GER,FW,Düsseldorf,21,2001,28,5,835,9.3,3,3,6,3,0,0,2,0,3.1,3.1,2.7,5.8,32,9,79,0.32,0.32,0.65,0.32,0.65,0.33,0.29,0.62,0.33,0.62
362,Jannis Nikolaou,GER,"MF,DF",Braunschweig,30,1993,23,15,"1,297",14.4,0,0,0,0,0,0,9,2,0.9,0.9,1.2,2.1,10,84,13,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Alexander Nollenberger,GER,"MF,FW",Magdeburg,26,1997,21,5,627,7.0,0,1,1,0,0,0,0,0,1.1,1.1,0.3,1.4,32,17,46,0.00,0.14,0.14,0.00,0.14,0.16,0.04,0.20,0.16,0.20
365,Tim Oberdorf,GER,DF,Düsseldorf,26,1996,22,14,"1,345",14.9,0,1,1,0,0,0,2,0,1.0,1.0,0.5,1.5,22,78,31,0.00,0.07,0.07,0.00,0.07,0.07,0.03,0.10,0.07,0.10
366,Raphael Obermair,PHI,"DF,MF",Paderborn 07,27,1996,32,30,"2,659",29.5,5,6,11,4,1,1,5,0,3.0,2.2,6.1,8.3,75,123,169,0.17,0.20,0.37,0.14,0.34,0.10,0.21,0.31,0.07,0.28
367,Masaya Okugawa,JPN,"FW,DF",Hamburger SV,27,1996,8,0,110,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,9,10,0.00,0.00,0.00,0.00,0.00,0.24,0.15,0.39,0.24,0.39
368,Kanji Okunuki,JPN,"FW,MF",Nürnberg,23,1999,30,24,"1,902",21.1,3,2,5,3,0,0,3,0,3.6,3.6,1.8,5.4,72,45,120,0.14,0.09,0.24,0.14,0.24,0.17,0.08,0.26,0.17,0.26
369,Kwasi Okyere Wriedt,GHA,FW,Osnabrück,29,1994,23,7,708,7.9,1,1,2,1,0,1,3,0,3.2,2.4,0.9,3.3,13,7,50,0.13,0.13,0.25,0.13,0.25,0.41,0.11,0.52,0.31,0.42
370,Nicolas Oliveira,GER,DF,Hamburger SV,19,2004,4,1,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,10,9,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.10,0.02,0.10
371,Aaron Opoku,GER,"FW,MF",Kaiserslautern,24,1999,23,5,890,9.9,3,1,4,3,0,0,1,0,1.7,1.7,4.2,5.9,34,43,109,0.30,0.10,0.40,0.30,0.40,0.17,0.43,0.60,0.17,0.60
372,Kolja Oudenne,SWE,MF,Hannover 96,21,2001,13,7,561,6.2,0,2,2,0,0,0,0,0,0.7,0.7,1.3,2.0,23,24,38,0.00,0.32,0.32,0.00,0.32,0.11,0.21,0.32,0.11,0.32
373,Assan Ouedraogo,GER,"MF,FW",Schalke 04,17,2006,17,9,826,9.2,3,1,4,3,0,0,2,0,1.8,1.8,0.1,1.9,21,30,35,0.33,0.11,0.44,0.33,0.44,0.20,0.01,0.21,0.20,0.21
374,Thomas Ouwejan,NED,"DF,MF",Schalke 04,26,1996,28,26,"2,048",22.8,2,6,8,2,0,0,3,0,2.5,2.5,6.3,8.8,30,83,77,0.09,0.26,0.35,0.09,0.35,0.11,0.28,0.39,0.11,0.39
375,Levin Öztunalı,GER,"FW,MF",Hamburger SV,27,1996,19,8,654,7.3,0,0,0,0,0,0,1,0,0.9,0.9,0.9,1.8,13,30,72,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24
376,Eren Öztürk,,MF,Karlsruher,19,2004,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
377,Peter Pekarík,SVK,DF,Hertha BSC,36,1986,5,0,125,1.4,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,3,6,3,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37
378,Juan Perea,COL,FW,Hansa Rostock,23,2000,33,14,"1,472",16.4,4,1,5,4,0,0,4,0,6.8,6.8,2.0,8.7,27,21,97,0.24,0.06,0.31,0.24,0.31,0.41,0.12,0.53,0.41,0.53
379,Lukas Petkov,BUL,"FW,MF",Greuther Fürth,22,2000,29,6,999,11.1,1,1,2,1,0,0,3,0,2.1,2.1,2.0,4.2,34,34,70,0.09,0.09,0.18,0.09,0.18,0.19,0.18,0.38,0.19,0.38
380,Denis Pfaffenrot,GER,MF,Greuther Fürth,18,2005,5,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18
381,Immanuel Pherai,SUR,"MF,FW",Hamburger SV,22,2001,29,22,"1,930",21.4,3,4,7,3,0,0,4,0,3.6,3.6,5.3,8.9,77,93,123,0.14,0.19,0.33,0.14,0.33,0.17,0.25,0.41,0.17,0.41
382,Rayan Philippe,FRA,"FW,MF",Braunschweig,22,2000,25,18,"1,687",18.7,8,4,12,8,0,0,0,0,7.7,7.7,4.9,12.6,48,48,95,0.43,0.21,0.64,0.43,0.64,0.41,0.26,0.67,0.41,0.67
383,Cristiano Piccini,ITA,DF,Magdeburg,30,1992,13,12,978,10.9,1,0,1,0,1,1,2,0,1.0,0.2,0.3,0.6,20,53,14,0.09,0.00,0.09,0.00,0.00,0.10,0.03,0.12,0.02,0.05
384,Benedikt Pichler,AUT,FW,Holstein Kiel,26,1997,22,15,"1,183",13.1,8,1,9,8,0,0,2,0,4.6,4.6,0.8,5.4,23,18,78,0.61,0.08,0.68,0.61,0.68,0.35,0.06,0.41,0.35,0.41
385,Lukas Pinckert,GER,DF,Elversberg,23,2000,20,8,855,9.5,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1.0,14,38,18,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10
386,Felix Platte,GER,"FW,MF",Paderborn 07,27,1996,17,8,701,7.8,4,2,6,4,0,0,1,0,3.4,3.4,1.2,4.6,15,7,50,0.51,0.26,0.77,0.51,0.77,0.44,0.16,0.59,0.44,0.59
387,Marco Pledl,GER,MF,Paderborn 07,22,2000,1,1,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
388,Sebastian Polter,GER,FW,Schalke 04,32,1991,11,4,424,4.7,3,2,5,2,1,1,3,0,2.5,1.9,1.0,2.9,5,9,28,0.64,0.42,1.06,0.42,0.85,0.53,0.22,0.75,0.39,0.61
389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Leander Popp,GER,"FW,MF",Greuther Fürth,18,2005,6,0,37,0.4,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,3,4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00
391,Finn Porath,GER,"MF,DF",Holstein Kiel,26,1997,27,21,"1,644",18.3,4,3,7,4,0,0,6,0,2.5,2.5,2.1,4.6,31,97,98,0.22,0.16,0.38,0.22,0.38,0.14,0.12,0.25,0.14,0.25
392,Łukasz Poręba,POL,MF,Hamburger SV,23,2000,17,7,660,7.3,2,1,3,2,0,0,2,0,1.4,1.4,1.1,2.5,12,43,20,0.27,0.14,0.41,0.27,0.41,0.19,0.15,0.34,0.19,0.34
393,Smail Prevljak,BIH,"MF,FW",Hertha BSC,28,1995,21,7,765,8.5,4,2,6,4,0,0,1,0,3.5,3.5,1.7,5.1,6,16,40,0.47,0.24,0.71,0.47,0.71,0.41,0.20,0.61,0.41,0.61
394,Kai Pröger,GER,"FW,MF",Hansa Rostock,31,1992,30,22,"1,970",21.9,4,2,6,3,1,2,5,0,5.8,4.0,0.8,4.8,43,15,112,0.18,0.09,0.27,0.14,0.23,0.26,0.04,0.30,0.18,0.22
395,Ivan Prtajin,CRO,FW,Wehen,27,1996,31,27,"2,424",26.9,13,2,15,11,2,2,6,0,14.6,13.4,2.4,15.8,28,55,141,0.48,0.07,0.56,0.41,0.48,0.54,0.09,0.63,0.50,0.59
396,Tymoteusz Puchacz,POL,DF,Kaiserslautern,24,1999,31,30,"2,597",28.9,1,7,8,1,0,0,6,0,1.3,1.3,6.6,8.0,90,73,144,0.03,0.24,0.28,0.03,0.28,0.05,0.23,0.28,0.05,0.28
397,Joshua Quarshie,GER,DF,Düsseldorf,19,2004,8,5,472,5.2,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,4,13,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
398,Matheo Raab,GER,GK,Hamburger SV,24,1998,14,14,"1,260",14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
399,Guilherme Ramos,POR,DF,Hamburger SV,25,1997,22,19,"1,556",17.3,1,0,1,1,0,0,5,2,1.0,1.0,0.0,1.1,23,82,0,0.06,0.00,0.06,0.06,0.06,0.06,0.00,0.06,0.06,0.06
400,Nicolai Rapp,GER,MF,Karlsruher,26,1996,13,8,670,7.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,3,33,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
401,Tobias Raschl,GER,MF,Kaiserslautern,23,2000,28,24,"2,029",22.5,1,3,4,1,0,0,4,0,1.1,1.1,3.4,4.5,44,93,46,0.04,0.13,0.18,0.04,0.18,0.05,0.15,0.20,0.05,0.20
402,Kenny Redondo,GER,"FW,MF",Kaiserslautern,28,1994,29,18,"1,473",16.4,2,5,7,2,0,0,4,0,2.1,2.1,2.9,5.0,39,35,85,0.12,0.31,0.43,0.12,0.43,0.13,0.18,0.30,0.13,0.30
403,Fabian Reese,GER,FW,Hertha BSC,25,1997,31,29,"2,632",29.2,9,11,20,6,3,3,2,0,6.4,4.0,10.4,14.4,181,82,290,0.31,0.38,0.68,0.21,0.58,0.22,0.36,0.57,0.14,0.49
404,Jan Reichert,GER,GK,Nürnberg,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405,Dominik Reimann,GER,GK,Magdeburg,26,1997,34,34,"3,060",34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
406,Max Reinthaler,ITA,DF,Wehen,28,1995,1,0,45,0.5,1,0,1,1,0,0,1,0,1.1,1.1,0.0,1.1,0,1,0,2.00,0.00,2.00,2.00,2.00,2.13,0.00,2.13,2.13,2.13
407,Ludovit Reis,NED,"MF,DF",Hamburger SV,23,2000,25,22,"1,788",19.9,3,2,5,3,0,1,4,0,2.6,1.8,1.8,3.6,61,123,81,0.15,0.10,0.25,0.15,0.25,0.13,0.09,0.22,0.09,0.18
408,Nicolai Remberg,GER,"MF,FW",Holstein Kiel,23,2000,32,16,"1,594",17.7,2,1,3,2,0,0,4,0,2.6,2.6,2.9,5.4,33,54,43,0.11,0.06,0.17,0.11,0.17,0.14,0.16,0.31,0.14,0.31
409,Bashkim Renneke,KVX,DF,Osnabrück,30,1992,22,21,"1,769",19.7,0,1,1,0,0,0,7,1,1.3,1.3,2.0,3.3,36,63,40,0.00,0.05,0.05,0.00,0.05,0.07,0.10,0.17,0.07,0.17
410,Simon Rhein,GER,MF,Hansa Rostock,25,1998,14,12,900,10.0,0,1,1,0,0,0,0,0,0.3,0.3,2.1,2.4,4,62,16,0.00,0.10,0.10,0.00,0.10,0.03,0.21,0.24,0.03,0.24
411,Marco Richter,GER,"MF,FW",Hertha BSC,25,1997,3,3,248,2.8,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.5,9,18,25,0.00,0.00,0.00,0.00,0.00,0.11,0.09,0.20,0.11,0.20
412,Nico Rieble,GER,DF,Wehen,27,1995,14,6,671,7.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7,28,23,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
413,Marlon Ritter,GER,"MF,FW",Kaiserslautern,28,1994,32,29,"2,348",26.1,10,5,15,10,0,0,7,0,7.2,7.2,3.5,10.7,43,110,112,0.38,0.19,0.57,0.38,0.57,0.28,0.13,0.41,0.28,0.41
414,Marvin-Lee Rittmüller,GER,"DF,FW",Braunschweig,24,1999,27,21,"2,013",22.4,0,2,2,0,0,0,2,0,0.7,0.7,2.4,3.1,43,88,111,0.00,0.09,0.09,0.00,0.09,0.03,0.11,0.14,0.03,0.14
415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Lars Ritzka,GER,"MF,DF",St. Pauli,25,1998,29,16,"1,501",16.7,2,1,3,2,0,0,2,0,1.2,1.2,2.1,3.4,20,77,85,0.12,0.06,0.18,0.12,0.18,0.07,0.13,0.20,0.07,0.20
417,Jannik Rochelt,GER,"FW,MF",Elversberg,24,1998,33,32,"2,678",29.8,4,7,11,4,0,1,4,0,7.0,6.2,6.8,13.0,92,86,215,0.13,0.24,0.37,0.13,0.37,0.24,0.23,0.46,0.21,0.44
418,Maximilian Rohr,GER,"DF,MF",Paderborn 07,28,1995,4,2,231,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
419,Tony Rölke,GER,MF,Hertha BSC,20,2003,1,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.12,0.18,0.30,0.12,0.30
420,Frank Ronstadt,GER,DF,Kaiserslautern,26,1997,5,4,290,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,7,8,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
421,Henry Rorig,GER,"DF,FW",Osnabrück,23,2000,10,5,439,4.9,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.9,11,14,17,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.18,0.09,0.18
