,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
422,Damian Roßbach,GER,DF,Hansa Rostock,30,1993,32,32,"2,750",30.6,2,1,3,2,0,0,11,0,1.9,1.9,0.1,2.1,17,70,7,0.07,0.03,0.10,0.07,0.10,0.06,0.00,0.07,0.06,0.07
423,Lasse Rosenboom,GER,"MF,DF",Holstein Kiel,21,2002,11,2,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,5,7,16,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09
424,Alexander Rossipal,GER,DF,Hansa Rostock,27,1996,25,23,"2,124",23.6,0,2,2,0,0,0,5,0,0.5,0.5,2.2,2.7,32,96,42,0.00,0.08,0.08,0.00,0.08,0.02,0.09,0.12,0.02,0.12
425,Tim Rossmann,GER,FW,Karlsruher,19,2003,4,1,117,1.3,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,4,6,11,0.00,0.00,0.00,0.00,0.00,0.40,0.19,0.59,0.40,0.59
426,Tom Rothe,GER,"DF,MF",Holstein Kiel,18,2004,33,30,"2,673",29.7,4,8,12,4,0,0,8,0,3.6,3.6,6.4,9.9,71,87,181,0.13,0.27,0.40,0.13,0.40,0.12,0.21,0.33,0.12,0.33
427,Felix Ruschke,GER,DF,Hansa Rostock,20,2003,6,2,205,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,3,8,7,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18
428,Elias Saad,TUN,"FW,MF",St. Pauli,23,1999,30,25,"2,062",22.9,7,1,8,7,0,0,7,1,7.0,7.0,3.9,10.8,99,67,232,0.31,0.04,0.35,0.31,0.35,0.30,0.17,0.47,0.30,0.47
429,Semih Sahin,GER,MF,Elversberg,23,1999,27,24,"2,119",23.5,1,3,4,1,0,0,4,0,2.2,2.2,1.4,3.6,33,132,29,0.04,0.13,0.17,0.04,0.17,0.09,0.06,0.15,0.09,0.15
430,Manolis Saliakas,GRE,"MF,DF",St. Pauli,26,1996,31,31,"2,656",29.5,2,2,4,2,0,0,7,1,1.5,1.5,4.2,5.7,70,191,109,0.07,0.07,0.14,0.07,0.14,0.05,0.14,0.19,0.05,0.19
431,Philipp Sander,GER,MF,Holstein Kiel,25,1998,25,24,"2,072",23.0,3,4,7,3,0,0,8,0,1.4,1.4,4.6,6.1,52,147,68,0.13,0.17,0.30,0.13,0.30,0.06,0.20,0.26,0.06,0.26
432,Sidi Sané,GER,"FW,MF",Braunschweig,20,2003,10,3,327,3.6,0,0,0,0,0,0,0,0,1.7,1.7,0.1,1.8,6,6,23,0.00,0.00,0.00,0.00,0.00,0.47,0.04,0.50,0.47,0.50
433,Leon Schaffran,GER,GK,Greuther Fürth,25,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434,Ron Schallenberg,GER,"MF,DF",Schalke 04,24,1998,26,24,"2,113",23.5,0,2,2,0,0,0,6,1,1.1,1.1,1.9,3.0,15,97,12,0.00,0.09,0.09,0.00,0.09,0.05,0.08,0.13,0.05,0.13
435,Louis Schaub,AUT,"MF,FW",Hannover 96,28,1994,29,21,"1,712",19.0,3,2,5,3,0,0,0,1,4.3,4.3,1.8,6.0,56,97,139,0.16,0.11,0.26,0.16,0.26,0.23,0.09,0.32,0.23,0.32
436,Tjark Scheller,GER,"FW,MF",St. Pauli,21,2002,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
437,Derry Scherhant,GER,FW,Hertha BSC,20,2002,28,5,792,8.8,2,0,2,2,0,0,0,0,2.9,2.9,0.7,3.6,29,13,65,0.23,0.00,0.23,0.23,0.23,0.33,0.08,0.41,0.33,0.41
438,Lukas Schleimer,GER,"MF,FW",Nürnberg,23,1999,33,21,"1,937",21.5,5,3,8,5,0,0,1,0,4.5,4.5,2.0,6.4,44,61,106,0.23,0.14,0.37,0.23,0.37,0.21,0.09,0.30,0.21,0.30
439,Fabian Schleusener,GER,FW,Karlsruher,31,1991,34,14,"1,418",15.8,7,1,8,7,0,0,2,0,6.6,6.6,2.1,8.7,32,21,113,0.44,0.06,0.51,0.44,0.51,0.42,0.13,0.55,0.42,0.55
440,Luca Schnellbacher,GER,FW,Elversberg,29,1994,30,27,"2,183",24.3,8,4,12,8,0,0,1,0,7.3,7.3,3.2,10.5,17,45,144,0.33,0.16,0.49,0.33,0.49,0.30,0.13,0.43,0.30,0.43
441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Sebastian Schonlau,GER,DF,Hamburger SV,28,1994,16,15,"1,290",14.3,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,15,87,5,0.07,0.00,0.07,0.07,0.07,0.06,0.02,0.08,0.06,0.08
443,Marvin Schulz,GER,"DF,MF",Holstein Kiel,28,1995,27,13,"1,326",14.7,1,2,3,1,0,0,5,1,0.8,0.8,1.0,1.8,52,59,25,0.07,0.14,0.20,0.07,0.20,0.05,0.07,0.12,0.05,0.12
444,Kevin Schumacher,GER,"DF,MF",Hansa Rostock,25,1997,29,20,"1,805",20.1,1,1,2,1,0,0,4,0,2.1,2.1,1.5,3.6,37,56,94,0.05,0.05,0.10,0.05,0.10,0.10,0.07,0.18,0.10,0.18
445,Marco Schuster,GER,"DF,MF",Paderborn 07,27,1995,12,7,668,7.4,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,10,17,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
446,Christopher Scott,GER,"MF,DF",Hannover 96,21,2002,5,0,54,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,5,6,0.00,0.00,0.00,0.00,0.00,0.41,0.09,0.50,0.41,0.50
447,Paul Seguin,GER,MF,Schalke 04,28,1995,30,25,"2,283",25.4,3,4,7,3,0,0,8,0,1.3,1.3,3.3,4.6,34,161,64,0.12,0.16,0.28,0.12,0.28,0.05,0.13,0.18,0.05,0.18
448,Arne Sicker,GER,"DF,FW",Elversberg,26,1997,10,2,158,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,7,8,12,0.00,0.00,0.00,0.00,0.00,0.20,0.18,0.39,0.20,0.39
449,Carlo Sickinger,GER,DF,Elversberg,26,1997,25,25,"2,053",22.8,2,1,3,1,1,1,10,0,2.1,1.3,1.3,2.6,19,92,3,0.09,0.04,0.13,0.04,0.09,0.09,0.06,0.15,0.06,0.11
450,Armindo Sieb,GER,"FW,MF",Greuther Fürth,20,2003,33,26,"2,204",24.5,12,1,13,12,0,0,3,0,7.3,7.3,3.0,10.3,61,54,182,0.49,0.04,0.53,0.49,0.53,0.30,0.12,0.42,0.30,0.42
451,Jamil Siebert,GER,DF,Düsseldorf,21,2002,24,18,"1,778",19.8,1,1,2,1,0,0,5,0,0.6,0.6,0.2,0.8,22,76,8,0.05,0.05,0.10,0.05,0.10,0.03,0.01,0.04,0.03,0.04
452,Eric da Silva Moreira,GER,MF,St. Pauli,17,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
453,Ba-Muaka Simakala,CGO,"MF,FW",Holstein Kiel,26,1997,11,2,322,3.6,0,0,0,0,0,0,2,0,0.9,0.9,0.4,1.3,6,12,20,0.00,0.00,0.00,0.00,0.00,0.24,0.12,0.36,0.24,0.36
454,Ba-Muaka Simakala,CGO,"MF,FW",Kaiserslautern,26,1997,7,0,116,1.3,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.6,3,4,4,0.78,0.00,0.78,0.78,0.78,0.43,0.05,0.48,0.43,0.48
455,Danel Sinani,LUX,"FW,MF",St. Pauli,26,1997,7,0,138,1.5,1,0,1,1,0,0,2,0,0.2,0.2,0.0,0.2,2,7,8,0.65,0.00,0.65,0.65,0.65,0.12,0.03,0.15,0.12,0.15
456,Sarpreet Singh,NZL,"MF,FW",Hansa Rostock,24,1999,15,4,425,4.7,1,0,1,1,0,0,1,1,0.5,0.5,0.9,1.4,8,14,23,0.21,0.00,0.21,0.21,0.21,0.10,0.19,0.29,0.10,0.29
457,Steven Skrzybski,GER,"MF,FW",Holstein Kiel,30,1992,26,23,"1,717",19.1,10,4,14,7,3,4,2,0,9.1,6.0,2.7,8.7,40,61,108,0.52,0.21,0.73,0.37,0.58,0.48,0.14,0.62,0.31,0.46
458,Eric Smith,SWE,"DF,MF",St. Pauli,26,1997,26,26,"2,238",24.9,1,3,4,1,0,0,7,0,1.3,1.3,1.2,2.5,12,145,11,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.10,0.05,0.10
459,Marcel Sobottka,GER,MF,Düsseldorf,29,1994,13,7,643,7.1,0,2,2,0,0,0,3,0,0.5,0.5,0.9,1.4,5,34,15,0.00,0.28,0.28,0.00,0.28,0.07,0.12,0.19,0.07,0.19
460,Nikola Soldo,CRO,"DF,MF",Kaiserslautern,22,2001,15,9,853,9.5,0,0,0,0,0,0,4,0,0.5,0.5,0.1,0.6,7,33,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07
461,Brandon Soppy,FRA,DF,Schalke 04,21,2002,5,4,319,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,11,10,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.06,0.03,0.06
462,Dennis Srbeny,GER,"FW,MF",Greuther Fürth,29,1994,32,9,998,11.1,1,4,5,1,0,0,2,0,2.5,2.5,1.6,4.1,9,40,76,0.09,0.36,0.45,0.09,0.45,0.23,0.14,0.37,0.23,0.37
463,Kostas Stafylidis,GRE,"DF,MF",Hansa Rostock,29,1993,11,7,585,6.5,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.4,2,36,3,0.00,0.15,0.15,0.00,0.15,0.02,0.04,0.06,0.02,0.06
464,Jonas Sterner,GER,DF,Holstein Kiel,21,2002,16,5,518,5.8,2,0,2,2,0,0,1,0,1.1,1.1,0.4,1.5,14,16,26,0.35,0.00,0.35,0.35,0.35,0.19,0.08,0.27,0.19,0.27
465,Lars Stindl,GER,"MF,FW",Karlsruher,34,1988,24,17,"1,514",16.8,4,4,8,4,0,0,3,0,4.6,4.6,2.8,7.4,15,92,95,0.24,0.24,0.48,0.24,0.48,0.27,0.17,0.44,0.27,0.44
466,Paul Stock,GER,"MF,FW",Elversberg,26,1997,29,24,"1,966",21.8,6,5,11,6,0,0,4,0,4.7,4.7,3.9,8.6,35,119,95,0.27,0.23,0.50,0.27,0.50,0.22,0.18,0.39,0.22,0.39
467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Filip Stojilković,SUI,"FW,MF",Kaiserslautern,23,2000,6,0,156,1.7,1,0,1,1,0,0,1,0,0.9,0.9,0.0,0.9,0,2,4,0.58,0.00,0.58,0.58,0.58,0.53,0.01,0.54,0.53,0.54
469,John-Patrick Strauß,PHI,DF,Hansa Rostock,27,1996,15,8,788,8.8,1,0,1,1,0,0,3,0,0.6,0.6,1.0,1.5,9,22,29,0.11,0.00,0.11,0.11,0.11,0.06,0.11,0.17,0.06,0.17
470,Florian Stritzel,GER,GK,Wehen,29,1994,34,34,"3,060",34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
471,Klaus Suso,GER,"DF,MF",Düsseldorf,18,2005,3,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
472,Haris Tabakovic,BIH,FW,Hertha BSC,29,1994,32,29,"2,560",28.4,22,6,28,18,4,5,2,0,22.4,18.5,4.8,23.3,26,49,127,0.77,0.21,0.98,0.63,0.84,0.79,0.17,0.96,0.65,0.82
473,Richmond Tachie,GER,"FW,MF",Kaiserslautern,24,1999,28,23,"1,761",19.6,3,6,9,3,0,0,1,0,3.5,3.5,2.6,6.1,33,21,146,0.15,0.31,0.46,0.15,0.46,0.18,0.13,0.31,0.18,0.31
474,Emanuel Taffertshofer,GER,MF,Wehen,28,1995,7,0,122,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,15,1,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
475,Ao Tanaka,JPN,MF,Düsseldorf,24,1998,30,24,"2,259",25.1,7,3,10,7,0,0,3,0,4.4,4.4,2.5,7.0,34,142,75,0.28,0.12,0.40,0.28,0.40,0.18,0.10,0.28,0.18,0.28
476,Anssi Tapio Suhonen,FIN,MF,Hamburger SV,22,2001,13,2,258,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,18,16,30,0.00,0.35,0.35,0.00,0.35,0.10,0.07,0.17,0.10,0.17
477,Niklas Tauer,GER,MF,Braunschweig,22,2001,16,4,561,6.2,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,7,17,6,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11
478,Niklas Tauer,GER,DF,Schalke 04,22,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
479,Bryan Teixeira,CPV,"FW,MF",Magdeburg,22,2000,9,6,536,6.0,2,0,2,1,1,1,1,0,2.5,1.7,0.2,1.9,14,6,29,0.34,0.00,0.34,0.17,0.17,0.42,0.04,0.46,0.29,0.33
480,Lino Tempelmann,GER,MF,Schalke 04,24,1999,22,13,"1,116",12.4,1,1,2,1,0,0,2,0,0.6,0.6,0.9,1.4,33,43,27,0.08,0.08,0.16,0.08,0.16,0.05,0.07,0.11,0.05,0.11
481,Simon Terodde,GER,FW,Schalke 04,35,1988,28,23,"1,987",22.1,5,5,10,4,1,1,1,0,7.3,6.5,2.4,8.9,7,25,93,0.23,0.23,0.45,0.18,0.41,0.33,0.11,0.44,0.29,0.40
482,Robert Tesche,GER,MF,Osnabrück,36,1987,29,23,"1,976",22.0,1,2,3,1,0,0,5,0,2.3,2.3,1.6,3.8,11,82,42,0.05,0.09,0.14,0.05,0.14,0.10,0.07,0.18,0.10,0.18
483,Cedric Teuchert,GER,"FW,MF",Hannover 96,26,1997,27,12,"1,266",14.1,11,1,12,5,6,6,4,0,10.4,5.8,2.6,8.4,36,44,89,0.78,0.07,0.85,0.36,0.43,0.73,0.19,0.92,0.41,0.59
484,Maximilian Thalhammer,GER,"MF,DF",Osnabrück,26,1997,16,9,825,9.2,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,8,20,4,0.00,0.11,0.11,0.00,0.11,0.01,0.01,0.02,0.01,0.02
485,Marco Thiede,GER,DF,Karlsruher,31,1992,20,4,633,7.0,1,1,2,1,0,0,1,0,0.1,0.1,0.2,0.3,5,16,21,0.14,0.14,0.28,0.14,0.28,0.02,0.03,0.05,0.02,0.05
486,Boris Tomiak,GER,"DF,MF",Kaiserslautern,24,1998,30,30,"2,592",28.8,4,2,6,2,2,2,6,2,2.4,0.8,2.2,3.0,42,107,18,0.14,0.07,0.21,0.07,0.14,0.08,0.08,0.16,0.03,0.10
487,Almamy Touré,MLI,DF,Kaiserslautern,27,1996,11,10,838,9.3,1,2,3,1,0,0,1,1,2.0,2.0,1.6,3.6,3,30,10,0.11,0.21,0.32,0.11,0.32,0.21,0.17,0.39,0.21,0.39
488,Nicolo Tresoldi,GER,FW,Hannover 96,18,2004,30,24,"1,972",21.9,7,2,9,7,0,0,1,0,9.0,9.0,1.0,10.0,20,22,95,0.32,0.09,0.41,0.32,0.41,0.41,0.05,0.46,0.41,0.46
489,Philipp Treu,GER,"MF,DF",St. Pauli,22,2000,26,17,"1,498",16.6,1,2,3,1,0,0,1,0,0.5,0.5,2.2,2.7,42,61,51,0.06,0.12,0.18,0.06,0.18,0.03,0.13,0.16,0.03,0.16
490,Christos Tzolis,GRE,"FW,MF",Düsseldorf,21,2002,30,28,"2,367",26.3,22,6,28,17,5,6,5,0,18.0,13.3,6.7,20.0,89,86,220,0.84,0.23,1.06,0.65,0.87,0.68,0.26,0.94,0.50,0.76
491,Takashi Uchino,JPN,DF,Düsseldorf,22,2001,16,4,384,4.3,1,0,1,1,0,0,3,0,0.2,0.2,0.2,0.3,10,22,12,0.23,0.00,0.23,0.23,0.23,0.04,0.04,0.08,0.04,0.08
492,Anthony Ujah,NGA,FW,Braunschweig,32,1990,23,8,926,10.3,3,2,5,3,0,0,1,0,4.5,4.5,0.9,5.5,6,21,41,0.29,0.19,0.49,0.29,0.49,0.44,0.09,0.53,0.44,0.53
493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Jonas Urbig,GER,GK,Greuther Fürth,19,2003,33,33,"2,969",33.0,0,0,0,0,0,0,3,0,0.0,0.0,1.0,1.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
495,Can Uzun,TUR,"MF,FW",Nürnberg,17,2005,30,25,"1,992",22.1,16,2,18,13,3,5,5,0,10.4,6.5,2.5,9.0,59,93,71,0.72,0.09,0.81,0.59,0.68,0.47,0.11,0.58,0.29,0.41
496,Enrico Valentini,ITA,DF,Nürnberg,34,1989,17,10,825,9.2,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.7,11,49,8,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
497,Ignace Van Der Brempt,BEL,DF,Hamburger SV,21,2002,23,22,"1,774",19.7,0,3,3,0,0,0,3,0,0.4,0.4,2.8,3.1,66,101,99,0.00,0.15,0.15,0.00,0.15,0.02,0.14,0.16,0.02,0.16
498,Hugo Vandermersch,FRA,DF,Elversberg,24,1999,26,26,"2,277",25.3,2,2,4,2,0,0,5,0,1.8,1.8,1.5,3.3,71,99,142,0.08,0.08,0.16,0.08,0.16,0.07,0.06,0.13,0.07,0.13
499,Sebastian Vasiliadis,GRE,"MF,DF",Hansa Rostock,25,1997,20,12,"1,104",12.3,0,0,0,0,0,0,5,0,0.5,0.5,0.4,0.9,9,49,31,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
500,Nikola Vasilj,BIH,GK,St. Pauli,27,1995,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
501,John Verhoek,NED,"FW,MF",Osnabrück,34,1989,12,1,261,2.9,0,1,1,0,0,0,3,0,0.3,0.3,0.3,0.5,1,12,15,0.00,0.34,0.34,0.00,0.34,0.09,0.09,0.18,0.09,0.18
502,Vincent Vermeij,NED,FW,Düsseldorf,28,1994,30,22,"1,832",20.4,12,3,15,11,1,1,4,0,8.1,7.3,2.8,10.0,9,37,100,0.59,0.15,0.74,0.54,0.69,0.40,0.14,0.53,0.36,0.49
503,Andreas Voglsammer,GER,"FW,MF",Hannover 96,31,1992,27,14,"1,441",16.0,8,2,10,8,0,0,4,0,4.7,4.7,2.9,7.5,19,44,99,0.50,0.12,0.62,0.50,0.62,0.29,0.18,0.47,0.29,0.47
504,Aleksandar Vukotić,SRB,DF,Wehen,28,1995,28,27,"2,334",25.9,2,1,3,2,0,0,11,1,2.2,2.2,1.4,3.6,6,71,5,0.08,0.04,0.12,0.08,0.12,0.08,0.05,0.14,0.08,0.14
505,Robert Wagner,GER,MF,Greuther Fürth,20,2003,31,30,"2,545",28.3,4,4,8,4,0,0,5,1,2.4,2.3,1.0,3.3,11,110,26,0.14,0.14,0.28,0.14,0.28,0.08,0.04,0.12,0.08,0.12
506,Hauke Wahl,GER,DF,St. Pauli,29,1994,33,32,"2,873",31.9,0,0,0,0,0,0,4,1,1.3,1.3,0.6,1.9,39,144,18,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
507,Marvin Wanitzek,GER,"MF,FW",Karlsruher,30,1993,32,32,"2,828",31.4,10,5,15,7,3,4,6,0,10.0,6.8,5.4,12.2,80,164,196,0.32,0.16,0.48,0.22,0.38,0.32,0.17,0.49,0.22,0.39
508,Paul Wanner,GER,"MF,FW",Elversberg,17,2005,28,21,"1,689",18.8,6,3,9,6,0,0,2,0,5.7,5.7,1.5,7.2,35,54,117,0.32,0.16,0.48,0.32,0.48,0.30,0.08,0.38,0.30,0.38
509,Timon Weiner,GER,GK,Holstein Kiel,24,1999,30,30,"2,700",30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
510,Max Weiß,GER,GK,Karlsruher,19,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
511,Erik Wekesser,GER,"MF,FW",Nürnberg,26,1997,17,6,739,8.2,0,2,2,0,0,0,3,0,0.6,0.6,0.4,1.0,11,17,41,0.00,0.24,0.24,0.00,0.24,0.07,0.05,0.12,0.07,0.12
512,Danilo Wiebe,GER,"DF,MF",Braunschweig,29,1994,12,7,715,7.9,0,0,0,0,0,0,2,0,0.4,0.4,1.4,1.8,14,32,25,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22
513,Niklas Wiemann,GER,DF,Osnabrück,24,1999,28,20,"1,852",20.6,1,0,1,1,0,0,3,2,0.9,0.9,0.1,0.9,20,51,10,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.04,0.04
514,Jordy de Wijs,NED,DF,Düsseldorf,28,1995,28,25,"2,035",22.6,2,2,4,2,0,0,5,0,1.8,1.8,1.2,3.0,31,94,12,0.09,0.09,0.18,0.09,0.18,0.08,0.05,0.13,0.08,0.13
515,Marten Winkler,GER,FW,Hertha BSC,20,2002,30,22,"1,548",17.2,5,5,10,5,0,0,7,0,4.0,4.0,1.9,5.9,38,33,117,0.29,0.29,0.58,0.29,0.58,0.23,0.11,0.34,0.23,0.34
516,Jannes Wulff,GER,"FW,MF",Osnabrück,23,1999,26,11,"1,022",11.4,0,1,1,0,0,0,3,0,2.3,2.3,1.3,3.6,14,34,56,0.00,0.09,0.09,0.00,0.09,0.20,0.11,0.32,0.20,0.32
517,Deyovaisio Zeefuik,NED,"DF,MF",Hertha BSC,25,1998,18,16,"1,328",14.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,19,47,27,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
518,Aaron Zehnter,GER,"DF,MF",Paderborn 07,18,2004,15,11,966,10.7,1,4,5,1,0,0,0,0,0.5,0.5,2.4,2.9,38,56,56,0.09,0.37,0.47,0.09,0.47,0.05,0.22,0.27,0.05,0.27
519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Ron-Robert Zieler,GER,GK,Hannover 96,34,1989,34,34,"3,060",34.0,0,0,0,0,0,0,4,0,0.0,0.0,0.4,0.4,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
521,Jean Zimmer,GER,DF,Kaiserslautern,29,1993,29,26,"2,261",25.1,1,3,4,1,0,0,5,0,0.8,0.8,2.3,3.1,38,119,69,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12
522,Matthias Zimmermann,GER,DF,Düsseldorf,31,1992,25,24,"2,100",23.3,1,5,6,1,0,0,3,1,0.6,0.6,2.6,3.2,43,160,109,0.04,0.21,0.26,0.04,0.26,0.03,0.11,0.14,0.03,0.14
523,Budu Zivzivadze,GEO,FW,Karlsruher,29,1994,30,13,"1,336",14.8,12,1,13,12,0,0,2,0,9.8,9.8,1.3,11.1,26,22,105,0.81,0.07,0.88,0.81,0.88,0.66,0.09,0.75,0.66,0.75
524,Ben Zolinski,GER,"DF,FW",Kaiserslautern,31,1992,6,3,242,2.7,0,2,2,0,0,0,2,0,0.2,0.2,0.3,0.4,3,11,8,0.00,0.74,0.74,0.00,0.74,0.07,0.09,0.16,0.07,0.16
525,Simon Zoller,GER,"MF,FW",St. Pauli,32,1991,4,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.23,0.23,0.23
526,Hendrick Zuck,GER,"DF,MF",Kaiserslautern,33,1990,5,2,159,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,5,5,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.07,0.23
