,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Braunschweig,30,34.0,74,6,3,365,373,45,595,371,270,1,9,1,1590,575,580,49.8
1,D端sseldorf,27,34.0,73,1,1,352,340,51,736,271,305,5,3,1,1601,535,520,50.7
2,Elversberg,25,34.0,68,1,0,364,358,70,490,332,386,3,7,0,1752,454,518,46.7
3,Greuther F端rth,26,34.0,66,2,2,429,439,72,604,244,258,6,5,0,1553,438,508,46.3
4,Hamburger SV,27,34.0,76,6,2,414,361,77,764,296,363,6,5,2,1667,529,398,57.1
5,Hannover 96,27,34.0,61,4,1,403,396,66,678,276,326,6,4,2,1661,548,546,50.1
6,Hansa Rostock,27,34.0,81,4,1,526,335,80,656,286,378,2,4,2,1602,569,660,46.3
7,Hertha BSC,32,34.0,71,4,2,431,336,68,625,340,320,5,6,2,1602,566,480,54.1
8,Holstein Kiel,28,34.0,74,3,3,426,349,68,571,322,345,5,5,0,1587,622,559,52.7
9,Kaiserslautern,31,34.0,69,5,1,371,435,42,690,278,298,4,8,0,1583,580,581,50.0
10,Karlsruher,26,34.0,61,0,0,350,357,62,731,254,306,3,3,1,1631,642,621,50.8
11,Magdeburg,25,34.0,81,5,1,372,444,66,444,293,300,5,5,1,1776,442,533,45.3
12,N端rnberg,31,34.0,87,6,2,364,420,86,531,262,321,4,6,0,1459,413,477,46.4
13,Osnabr端ck,28,34.0,81,6,5,385,465,58,650,322,339,6,8,1,1588,588,541,52.1
14,Paderborn 07,31,34.0,61,5,2,373,352,49,611,255,277,3,4,0,1617,451,479,48.5
15,Schalke 04,35,34.0,78,4,3,429,348,63,713,307,317,4,6,2,1629,626,624,50.1
16,St. Pauli,26,34.0,63,4,3,324,364,59,673,229,242,1,4,0,1624,435,444,49.5
17,Wehen,25,34.0,78,6,4,399,322,57,570,334,398,2,7,0,1722,615,559,52.4
